layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
2,embed_tokens,0.021466060109306406,4096,32768,8.0,3.4394161453892207,4.774237432919559,1.1734440835187594,True,24.439668655395508,embedding,4.785638268776454,2.981718178377003,1.388095313595524,model.embed_tokens,4096,958.7782608754933,4096,910,0,1,0.08086585779219618,24.439668655395508,39.230411606412076,success,4.9436492919921875,0.15741541981697083,,0,24.439668655395508,0.2924272119998932
6,q_proj,0.027847659387880308,4096,4096,1.0,1.4173533192924834,2.522353158737208,0.6844443712525135,True,60.20353698730469,dense,2.9873658758791968,2.4705682753012277,1.77962200702103,model.layers.0.self_attn.q_proj,4096,295.5073418142536,4096,720,2063,1,0.015553839876219456,60.20353698730469,4.908471438755637,success,7.759093761444092,1.0717908782709173e-09,over-trained,1663,60.20353698730469,0.001109034987166524
7,k_proj,0.02335626140566871,1024,4096,4.0,1.443638875208853,1.6702007988917025,0.5832603349614952,True,14.352848052978516,dense,2.177422929861545,1.9143767461126584,1.1569380872000088,model.layers.0.self_attn.k_proj,1024,82.10634998394289,1024,433,30,1,0.02131992376120934,14.352848052978516,5.720561499771755,success,3.788515329360962,0.0005633824039250612,over-trained,11,14.352848052978516,0.0009195670718327165
8,v_proj,0.04333799897017676,1024,4096,4.0,3.1657030687034062,0.35989975656518614,0.9181043006042762,True,1.299233317375183,dense,0.48422077358335264,1.2913780522097558,0.11368714903277147,model.layers.0.self_attn.v_proj,1024,19.560414438368753,1024,143,0,1,0.1811051887251061,1.299233317375183,15.055351626824267,success,1.1398391723632812,0.022584229707717896,,0,1.299233317375183,0.037805747240781784
9,o_proj,0.042271631208813665,4096,4096,1.0,2.9893236914463817,-0.3546826022266321,1.092859251546734,True,0.7609396576881409,dense,0.25600979235885435,1.8269881378956467,-0.11864978130053867,model.layers.0.self_attn.o_proj,4096,67.14105141013022,4096,272,22,1,0.12062046622613334,0.7609396576881409,88.23439642259639,success,0.8723185658454895,4.475085461308481e-06,,51,0.7609396576881409,0.06788117438554764
12,gate_proj,0.020021237380378087,4096,14336,3.5,2.3401755277326624,2.1975088616540286,1.1295340517039825,True,8.690322875976562,dense,2.769586345332909,2.792314044236163,0.9390359123117316,model.layers.0.mlp.gate_proj,4096,619.8891633179737,4096,946,0,1,0.043572864845923306,8.690322875976562,71.33097034076707,success,2.9479353427886963,0.019243424758315086,,0,8.690322875976562,0.16368213295936584
13,up_proj,0.030070947409506776,4096,14336,3.5,4.438862624547575,2.594829517629551,1.1592015250765315,True,3.842118978500366,dense,2.7273028952604044,2.7403922462955173,0.5845708094861407,model.layers.0.mlp.up_proj,4096,550.0374326512683,4096,53,0,1,0.47236410944992374,3.842118978500366,143.15991663172173,success,1.960132360458374,0.02095687761902809,,0,3.842118978500366,0.7831422686576843
14,down_proj,0.03350487286745285,4096,14336,3.5,3.8290403599668053,2.641116823836805,1.1830035807131751,True,4.895076274871826,dense,2.6753756199597607,2.7046494344889114,0.6897594633501594,model.layers.0.mlp.down_proj,4096,506.58162699546665,4096,833,0,1,0.09802043885108022,4.895076274871826,103.48799457853822,success,2.21248197555542,0.09972181916236877,,0,4.895076274871826,0.17898887395858765
20,q_proj,0.04922708363582928,4096,4096,1.0,2.9753560295362522,2.855563961944659,0.983185797719073,True,9.114620208740234,dense,3.2121365490062646,2.434925022549287,0.9597385770299683,model.layers.1.self_attn.q_proj,4096,272.223129615977,4096,42,980,1,0.3048040527252607,9.114620208740234,29.86664538747709,success,3.01904296875,4.895811756000512e-09,,970,9.114620208740234,1.2582658529281616
21,k_proj,0.0420459761530213,1024,4096,4.0,2.944283311247707,1.9054830347703895,0.8326411138160816,True,4.437931537628174,dense,2.262327543004299,2.007788489427405,0.6471805982430738,model.layers.1.self_attn.k_proj,1024,101.80954333445521,1024,60,24,1,0.25100589615904606,4.437931537628174,22.940764739436858,success,2.106639862060547,0.00043684878619387746,,23,4.437931537628174,0.51799476146698
22,v_proj,0.060765912091831464,1024,4096,4.0,5.960298752817389,-3.8960324672821414,1.0100005358027615,True,0.22199134528636932,dense,-3.746849802903448,1.4118651806944853,-0.6536639569351311,model.layers.1.self_attn.v_proj,1024,25.814586964668706,1024,65,0,1,0.6152493392888866,0.22199134528636932,116.28645671464278,success,0.47115957736968994,0.04630798473954201,,0,0.22199134528636932,0.06386328488588333
23,o_proj,0.020651503390690717,4096,4096,1.0,3.402747013833319,-0.08697974513810708,1.1388946793477939,True,0.9428408145904541,dense,0.15962825683140888,2.0120757375510796,-0.025561625587945547,model.layers.1.self_attn.o_proj,4096,102.81955917384508,4096,384,11,1,0.12261467010182556,0.9428408145904541,109.05293617195312,success,0.9709998965263367,6.892998953844653e-07,,24,0.9428408145904541,0.06948132812976837
26,gate_proj,0.017642638578232117,4096,14336,3.5,2.6374150526590707,2.1774480479687828,1.1545682076485084,True,6.692668437957764,dense,2.6490239458991955,2.7823737026656854,0.8255993101174788,model.layers.1.mlp.gate_proj,4096,605.8619839642779,4096,966,0,1,0.052682965753794005,6.692668437957764,90.52622127940852,success,2.587019205093384,0.02494734339416027,,0,6.692668437957764,0.17394569516181946
27,up_proj,0.04544252890997297,4096,14336,3.5,3.3338304031579162,1.6900587335373614,1.1741738778772672,True,3.2132315635681152,dense,2.087202924108303,2.7283144642309085,0.5069420243862678,model.layers.1.mlp.up_proj,4096,534.9515672739362,4096,659,0,1,0.09091312492327211,3.2132315635681152,166.48397623727504,success,1.7925488948822021,0.0222909115254879,,0,3.2132315635681152,0.22086860239505768
28,down_proj,0.052127734924843794,4096,14336,3.5,4.430636911404439,3.9656147158109825,1.180498811130463,True,7.853150844573975,dense,4.0205452580496575,2.7254690801444905,0.8950439395301178,model.layers.1.mlp.down_proj,4096,531.4581606779248,4096,879,0,1,0.11571251112485538,7.853150844573975,67.67451322358444,success,2.802347421646118,0.09032280743122101,,0,7.853150844573975,0.18048802018165588
34,q_proj,0.029896187391874607,4096,4096,1.0,3.716693573397597,2.168888871029288,1.1174275368585345,True,3.833127975463867,dense,2.2860370091021993,2.4992253986828965,0.5835533191525953,model.layers.2.self_attn.q_proj,4096,315.66424946516713,4096,163,36,1,0.2127878630778794,3.833127975463867,82.35160722150607,success,1.9578375816345215,8.589308322370925e-07,,37,3.833127975463867,0.3756793737411499
35,k_proj,0.03712625964121727,1024,4096,4.0,5.488463170089569,1.5002438802150153,0.9859609603624959,True,1.8764845132827759,dense,1.525422589470769,2.121827772255599,0.27334498451057876,model.layers.2.self_attn.k_proj,1024,132.38164464714282,1024,67,0,1,0.5483530515035829,1.8764845132827759,70.54768835557857,success,1.369848370552063,0.0032051443122327328,,0,1.8764845132827759,0.370290607213974
36,v_proj,0.027534661778030767,1024,4096,4.0,7.879760213555989,-7.356012121363862,1.0199961219007052,True,0.11653798818588257,dense,-7.207049358595666,1.333067300294801,-0.9335324834769598,model.layers.2.self_attn.v_proj,1024,21.5311536565423,1024,39,0,1,1.1016433016184124,0.11653798818588257,184.7565243892771,success,0.3413766026496887,0.048917606472969055,under-trained,0,0.11653798818588257,0.05235292389988899
37,o_proj,0.015387737860585116,4096,4096,1.0,3.664962841811531,-0.3126488823695974,1.1371360351480455,True,0.8216606378555298,dense,-0.09086439201935077,1.9521768187450421,-0.08530751766505229,model.layers.2.self_attn.o_proj,4096,89.57293787644421,4096,190,11,1,0.193336724915995,0.8216606378555298,109.01451736841453,success,0.9064549803733826,1.1947616258112248e-05,,26,0.8216606378555298,0.08516146242618561
40,gate_proj,0.03267979496689777,4096,14336,3.5,3.2379213662978525,2.4678145978487684,1.178302180876913,True,5.783092498779297,dense,2.632855881013913,2.77144583279923,0.7621601387653208,model.layers.2.mlp.gate_proj,4096,590.8072727849358,4096,136,0,1,0.19190017399013598,5.783092498779297,102.16113142054085,success,2.404806137084961,0.026235142722725868,,0,5.783092498779297,0.39251405000686646
41,up_proj,0.05695325871505208,4096,14336,3.5,5.034584180717053,2.7028917333090656,1.1880033235513163,True,3.4424285888671875,dense,2.731565322328959,2.716360662552383,0.5368649398417855,model.layers.2.mlp.up_proj,4096,520.4280098007293,4096,564,0,1,0.16988664092477268,3.4424285888671875,151.180480978979,success,1.855378270149231,0.02725648693740368,,0,3.4424285888671875,0.22503507137298584
42,down_proj,0.015712289234900978,4096,14336,3.5,4.124377261965479,0.5060323330505107,1.1883980362769722,True,1.3264565467834473,dense,1.2876646733383046,2.703251118047884,0.12269302755523391,model.layers.2.mlp.down_proj,4096,504.9531875392422,4096,627,0,1,0.12477560896202886,1.3264565467834473,380.67827307552136,success,1.1517189741134644,0.09954045712947845,,0,1.3264565467834473,0.2005538046360016
48,q_proj,0.03167260103181291,4096,4096,1.0,2.9232950351788847,2.1936998288353995,1.0981131660409742,True,5.628857612609863,dense,2.453744710790838,2.500373069410378,0.7504202629007513,model.layers.3.self_attn.q_proj,4096,316.49952998641453,4096,198,69,1,0.13668262642110907,5.628857612609863,56.22802205502354,success,2.37252140045166,2.70034234972627e-07,,62,5.628857612609863,0.3429938554763794
49,k_proj,0.044860510297212774,1024,4096,4.0,3.8458761447505885,1.7192491097379445,0.9535808367702012,True,2.799220085144043,dense,1.9140210203594854,2.1431352513515134,0.4470370456637367,model.layers.3.self_attn.k_proj,1024,139.03855684388964,1024,53,0,1,0.3909111521710618,2.799220085144043,49.670462705591426,success,1.6730870008468628,0.00311442743986845,,0,2.799220085144043,0.5081337690353394
50,v_proj,0.04211072087999773,1024,4096,4.0,6.012975213620786,-5.447735826147026,1.0269613436046252,True,0.12416616827249527,dense,-4.849590262225968,1.4331946659443564,-0.9059967208590248,model.layers.3.self_attn.v_proj,1024,27.11406706669368,1024,83,0,1,0.5502455146697455,0.12416616827249527,218.3692018842774,success,0.3523721992969513,0.05765612795948982,under-trained,0,0.12416616827249527,0.052104402333498
51,o_proj,0.021051433567206235,4096,4096,1.0,3.7001180253622055,-0.6312214497562382,1.1500489727938403,True,0.6751574277877808,dense,-0.28538361703707243,2.042388073223323,-0.17059495006093697,model.layers.3.self_attn.o_proj,4096,110.25240537098452,4096,348,8,1,0.14474151902661475,0.6751574277877808,163.2988112598232,success,0.8216796517372131,3.745057983906008e-05,,20,0.6751574277877808,0.07460131496191025
54,gate_proj,0.025909654617478295,4096,14336,3.5,3.3582403510398637,2.497340597286851,1.1781437882807673,True,5.5417327880859375,dense,2.6436408511303013,2.7700917306346895,0.7436455810893824,model.layers.3.mlp.gate_proj,4096,588.9680426304694,4096,967,0,1,0.07583589718759028,5.5417327880859375,106.2786794586488,success,2.354088544845581,0.03368183597922325,,0,5.5417327880859375,0.18457019329071045
55,up_proj,0.05007353398151748,4096,14336,3.5,4.986764816816372,2.0362155353453124,1.1899090452690073,True,2.560495138168335,dense,2.1694339638921343,2.708665296419903,0.408323955539027,model.layers.3.mlp.up_proj,4096,511.28764272411354,4096,596,0,1,0.16330424987691086,2.560495138168335,199.68311405967603,success,1.6001547574996948,0.033835556358098984,,0,2.560495138168335,0.21129818260669708
56,down_proj,0.01756733746403305,4096,14336,3.5,5.168878791517604,0.5988216137512802,1.1883430697051995,True,1.3057239055633545,dense,1.0253148157448118,2.700103904461052,0.11585135537207358,model.layers.3.mlp.down_proj,4096,501.3071564482525,4096,110,0,1,0.397486996681141,1.3057239055633545,383.93044219556015,success,1.1426827907562256,0.09416328370571136,,0,1.3057239055633545,0.3598664402961731
62,q_proj,0.03538742032975717,4096,4096,1.0,4.473884723491452,2.5438873562573554,1.1031229986053106,True,3.7034642696380615,dense,2.61783086110437,2.4422845074575052,0.568608159012217,model.layers.4.self_attn.q_proj,4096,276.8754870021111,4096,24,30,1,0.7091037498169573,3.7034642696380615,74.76121459359186,success,1.924438714981079,1.0685704410207109e-06,,31,3.7034642696380615,0.8613755702972412
63,k_proj,0.06382797493080661,1024,4096,4.0,4.66022612607751,0.9859412060098861,0.9673462293526861,True,1.6276652812957764,dense,1.1604451580535535,2.057495945416068,0.21156509991924966,model.layers.4.self_attn.k_proj,1024,114.1552647005592,1024,46,0,1,0.5396708999981292,1.6276652812957764,70.13436116895038,success,1.2757998704910278,0.012736249715089798,,0,1.6276652812957764,0.42194613814353943
64,v_proj,0.04495118762555983,1024,4096,4.0,8.62247410954293,-7.260682025188355,1.021308161397918,True,0.1438583880662918,dense,-7.172594689031506,1.4203495602939515,-0.8420648102790578,model.layers.4.self_attn.v_proj,1024,26.323859266471118,1024,29,0,1,1.4154579075173968,0.1438583880662918,182.98452818990813,success,0.37928667664527893,0.056668706238269806,under-trained,0,0.1438583880662918,0.06878674030303955
65,o_proj,0.0412797448172747,4096,4096,1.0,3.3930765871147774,-0.9883262048419084,1.1380291981462136,True,0.5113552212715149,dense,-0.06592301294901286,2.0272628742119534,-0.29127730526186213,model.layers.4.self_attn.o_proj,4096,106.47873285868181,4096,304,8,1,0.137252355360349,0.5113552212715149,208.2285042360889,success,0.7150910496711731,1.4995396668382455e-05,,23,0.5113552212715149,0.08267366141080856
68,gate_proj,0.029284114926167337,4096,14336,3.5,3.045109869057372,2.219278907436144,1.1765059621835268,True,5.35551118850708,dense,2.595236805158173,2.7839718259123702,0.7288009309572572,model.layers.4.mlp.gate_proj,4096,608.0955508740153,4096,254,0,1,0.12832160594853873,5.35551118850708,113.54575305135904,success,2.3141977787017822,0.05063252151012421,,0,5.35551118850708,0.31355154514312744
69,up_proj,0.05986953576987242,4096,14336,3.5,5.072488087929063,1.4407592650166514,1.1920315440569778,True,1.923242449760437,dense,1.6694231418381058,2.695700459626432,0.2840340361656459,model.layers.4.mlp.up_proj,4096,496.2499312751461,4096,717,0,1,0.15208985464549116,1.923242449760437,258.0277548142513,success,1.3868101835250854,0.04509361833333969,,0,1.923242449760437,0.19003060460090637
70,down_proj,0.009165892271300158,4096,14336,3.5,5.087221022184755,0.4383754683013783,1.1908553309537278,True,1.2194721698760986,dense,0.8140089515033736,2.686604491846074,0.08617189353277083,model.layers.4.mlp.down_proj,4096,485.96444058138877,4096,247,0,1,0.26006364593304426,1.2194721698760986,398.50392045499814,success,1.104297161102295,0.10358830541372299,,0,1.2194721698760986,0.264001727104187
76,q_proj,0.03150829007175138,4096,4096,1.0,4.63421886215247,2.524931217361151,1.1166289658822566,True,3.506267547607422,dense,2.572198255225709,2.460989462157087,0.5448450520932859,model.layers.5.self_attn.q_proj,4096,289.0609742950351,4096,32,20,1,0.6424452004360175,3.506267547607422,82.44122000680815,success,1.8725030422210693,5.4889587772777304e-05,,23,3.506267547607422,0.7129647135734558
77,k_proj,0.03718842705452352,1024,4096,4.0,5.221741963385132,1.0506922036414144,0.979702146643979,True,1.589332938194275,dense,1.1675980698930015,2.0826915777352335,0.20121488403848192,model.layers.5.self_attn.k_proj,1024,120.97387100826018,1024,37,0,1,0.6940501034450466,1.589332938194275,76.11612903820202,success,1.2606874704360962,0.02839069813489914,,0,1.589332938194275,0.45381960272789
78,v_proj,0.019289824405763212,1024,4096,4.0,6.246427784408598,-5.882667042388217,1.0283169793205154,True,0.11434969305992126,dense,-5.473121237750947,1.3652109843711688,-0.941764996798915,model.layers.5.self_attn.v_proj,1024,23.185207357397303,1024,84,0,1,0.5724322011945682,0.11434969305992126,202.75705808189483,success,0.3381563127040863,0.05211200565099716,under-trained,0,0.11434969305992126,0.043100759387016296
79,o_proj,0.028673815807389258,4096,4096,1.0,3.9901115669456013,-1.5868483066043466,1.1494557256522666,True,0.40022552013397217,dense,-0.7593173998257543,2.0244461762302652,-0.39769522229652,model.layers.5.self_attn.o_proj,4096,105.79037978233032,4096,252,6,1,0.18835932377323147,0.40022552013397217,264.32692184875634,success,0.6326338052749634,3.6685537452285644e-06,,21,0.40022552013397217,0.08457081019878387
82,gate_proj,0.013713008417962691,4096,14336,3.5,3.1775587699957475,2.540312128373674,1.1756314588330372,True,6.3016462326049805,dense,2.8461200191504297,2.799687413563929,0.7994540187142073,model.layers.5.mlp.gate_proj,4096,630.5033719926141,4096,979,0,1,0.06959508010966198,6.3016462326049805,100.05375559331836,success,2.510308027267456,0.04167597368359566,,0,6.3016462326049805,0.19040393829345703
83,up_proj,0.043492416261823486,4096,14336,3.5,5.2021378075870395,1.7518474639594028,1.192321065310206,True,2.1714773178100586,dense,1.829780252120631,2.6820566947085553,0.33675529729420606,model.layers.5.mlp.up_proj,4096,480.9021234269021,4096,634,0,1,0.16688821205133542,2.1714773178100586,221.46311153362328,success,1.4735933542251587,0.04279080778360367,,0,2.1714773178100586,0.19142203032970428
84,down_proj,0.019234786216304922,4096,14336,3.5,4.348681234745545,0.23370280365470408,1.189084195319273,True,1.1317254304885864,dense,0.9231436135584387,2.6742424737258816,0.053741074831477914,model.layers.5.mlp.down_proj,4096,472.32667538383976,4096,514,0,1,0.14770399737428994,1.1317254304885864,417.3509427811724,success,1.0638258457183838,0.08554840087890625,,0,1.1317254304885864,0.205759197473526
90,q_proj,0.028475812045500704,4096,4096,1.0,3.8666216018779536,2.2961578313534585,1.1116239098397174,True,3.9250106811523438,dense,2.37609265359067,2.4437334871097676,0.593840842930752,model.layers.6.self_attn.q_proj,4096,277.8007968285128,4096,107,26,1,0.27712677028219485,3.9250106811523438,70.77708047076021,success,1.9811639785766602,1.6703832443454303e-05,,27,3.9250106811523438,0.4361097812652588
91,k_proj,0.032491999535743665,1024,4096,4.0,5.155466021420908,1.548382912110536,0.973720409480725,True,1.9968162775039673,dense,1.5903886473222715,2.0853144802319794,0.3003381082674235,model.layers.6.self_attn.k_proj,1024,121.70669811338303,1024,31,0,1,0.746343729839303,1.9968162775039673,60.950373594468665,success,1.4130874872207642,0.020137015730142593,,0,1.9968162775039673,0.4670604467391968
92,v_proj,0.04510466194544621,1024,4096,4.0,5.478069242274579,-4.997117764568558,1.0230039274499663,True,0.1224040538072586,dense,-4.315171325122576,1.387850490231683,-0.9122041988818816,model.layers.6.self_attn.v_proj,1024,24.42589524597861,1024,84,0,1,0.48859741118992384,0.1224040538072586,199.5513586865384,success,0.3498629033565521,0.0487162247300148,,0,0.1224040538072586,0.04838535189628601
93,o_proj,0.029321577549951572,4096,4096,1.0,3.784802541319766,-1.5053316740295044,1.1427248243221246,True,0.4001929461956024,dense,-0.4733793938701012,2.0332620848541536,-0.3977305705107123,model.layers.6.self_attn.o_proj,4096,107.95980336025507,4096,254,8,1,0.17473405207145837,0.4001929461956024,269.7693809612714,success,0.6326080560684204,2.5136976546491496e-05,,22,0.4001929461956024,0.0907900333404541
96,gate_proj,0.008720071639755134,4096,14336,3.5,3.590981329641933,2.506341884545511,1.181206547764057,True,4.988323211669922,dense,2.759510333906065,2.7994939274449973,0.6979545852429774,model.layers.6.mlp.gate_proj,4096,630.2225337956334,4096,611,0,1,0.10481988487898812,4.988323211669922,126.33955480696612,success,2.2334554195404053,0.03995825722813606,,0,4.988323211669922,0.24640251696109772
97,up_proj,0.04097869349360117,4096,14336,3.5,5.002958746874855,1.6188122688385964,1.1920702602184967,True,2.10654616355896,dense,1.7430669356448196,2.6890416311064107,0.3235709808420473,model.layers.6.mlp.up_proj,4096,488.6992033951683,4096,655,0,1,0.15640854083970596,2.10654616355896,231.9907400317886,success,1.4513945579528809,0.041799578815698624,,0,2.10654616355896,0.19150738418102264
98,down_proj,0.012531557848714625,4096,14336,3.5,4.136085327878218,0.44196715384606355,1.1868543085375205,True,1.2789583206176758,dense,1.2159702315092171,2.679971625469669,0.1068563916868682,model.layers.6.mlp.down_proj,4096,478.5988221568987,4096,327,0,1,0.1734259149103338,1.2789583206176758,374.2098662963139,success,1.1309103965759277,0.10112886130809784,,0,1.2789583206176758,0.24423937499523163
104,q_proj,0.05586105400027336,4096,4096,1.0,4.974733158637301,2.6765707997628225,1.1031944319798808,True,3.45169997215271,dense,2.734891908013108,2.4317227082611437,0.5380330390416357,model.layers.7.self_attn.q_proj,4096,270.2232470655554,4096,19,23,1,0.9118663245284323,3.45169997215271,78.28700328697057,success,1.857875108718872,1.4256474969442934e-05,,24,3.45169997215271,0.949629545211792
105,k_proj,0.06009051231126494,1024,4096,4.0,6.8472488744880335,1.6602537904562833,0.9598258412833375,True,1.747713327407837,dense,1.7161565925093094,2.0795723762936986,0.24247019801517292,model.layers.7.self_attn.k_proj,1024,120.10812196147162,1024,15,0,1,1.5097531674681477,1.747713327407837,68.7230108496185,success,1.322011113166809,0.028937168419361115,under-trained,0,1.747713327407837,0.7401137351989746
106,v_proj,0.03906679707229352,1024,4096,4.0,6.711198017545077,-6.187330566381877,1.0234738405062325,True,0.11969023197889328,dense,-5.6651279449429985,1.4094684783858873,-0.9219412912875385,model.layers.7.self_attn.v_proj,1024,25.67251867125742,1024,42,0,1,0.8812569864040635,0.11969023197889328,214.49134358587116,success,0.3459627628326416,0.051783349364995956,under-trained,0,0.11969023197889328,0.05907002463936806
107,o_proj,0.040092037508171585,4096,4096,1.0,3.633215196857327,-1.261150472186545,1.1372471250510012,True,0.4496587812900543,dense,-0.20680737493167678,2.045738340761156,-0.34711692092376467,model.layers.7.self_attn.o_proj,4096,111.1062118810245,4096,254,8,1,0.1652226161446149,0.4496587812900543,247.09005251107277,success,0.6705660223960876,4.144755621382501e-06,,25,0.4496587812900543,0.09713481366634369
110,gate_proj,0.014771558650463729,4096,14336,3.5,3.272266395563362,2.480877983679415,1.1776341426590158,True,5.729976177215576,dense,2.7743477911588403,2.80567538926562,0.7581528163608758,model.layers.7.mlp.gate_proj,4096,639.2568482784554,4096,822,0,1,0.07925439170103364,5.729976177215576,111.56361361856409,success,2.3937368392944336,0.07187381386756897,,0,5.729976177215576,0.21676303446292877
111,up_proj,0.032275943380522865,4096,14336,3.5,4.8862405130245845,1.6807065430034953,1.1906549272557259,True,2.2078380584716797,dense,1.7842847789544152,2.685625114813186,0.34396721539258357,model.layers.7.mlp.up_proj,4096,484.86977742938325,4096,543,0,1,0.16677454331113137,2.2078380584716797,219.6129265771522,success,1.4858795404434204,0.06304225325584412,,0,2.2078380584716797,0.20428255200386047
